순위,제목,가수
1,HAPPY,DAY6 (데이식스)
2,내 이름 맑음,QWER
3,Welcome to the Show,DAY6 (데이식스)
4,Supernova,aespa
5,한 페이지가 될 수 있게,DAY6 (데이식스)
6,녹아내려요,DAY6 (데이식스)
7,소나기,이클립스 (ECLIPSE)
8,Supersonic,프로미스나인
9,사랑은 늘 도망가,임영웅
10,How Sweet,NewJeans
11,클락션 (Klaxon),(여자)아이들
12,예뻤어,DAY6 (데이식스)
13,Small girl (feat. 도경수(D.O.)),이영지
14,고민중독,QWER
15,Sticky,KISS OF LIFE
16,WAY 4 LUV,PLAVE
17,Pump Up The Volume!,PLAVE
18,우리들의 블루스,임영웅
19,천상연,이창섭
20,온기,임영웅
21,Home,임영웅
22,Supernatural,NewJeans
23,모래 알갱이,임영웅
24,나는 아픈 건 딱 질색이니까,(여자)아이들
25,다시 만날 수 있을까,임영웅
26,이제 나만 믿어요,임영웅
27,첫 만남은 계획대로 되지 않아,TWS (투어스)
28,우리 영화,PLAVE
29,Love wins all,아이유
30,Do or Die,임영웅
31,무지개,임영웅
32,슬픈 초대장,순순희(지환)
33,Magnetic,아일릿(ILLIT)
34,London Boy,임영웅
35,Polaroid,임영웅
36,Bubble Gum,NewJeans
37,From,PLAVE
38,Armageddon,aespa
39,해야 (HEYA),IVE (아이브)
40,인생찬가,임영웅
41,에피소드,이무진
42,Watch Me Woo!,PLAVE
43,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
44,여섯 번째 여름,PLAVE
45,헤어지자 말해요,박재정
46,SPOT! (feat. JENNIE),지코 (ZICO)
47,비의 랩소디,임재현
48,별별별 (See that?),NMIXX
49,연애편지,임영웅
50,미안해 미워해 사랑해,Crush
51,버추얼 아이돌,PLAVE
52,Hype Boy,NewJeans
53,Congratulations,DAY6 (데이식스)
54,보금자리,임영웅
55,Boom Boom Bass,RIIZE
56,주저하는 연인들을 위해,잔나비
57,Seven (feat. Latto) - Clean Ver.,정국
58,너의 모든 순간,성시경
59,다정히 내 이름을 부르면,경서예지
60,I AM,IVE (아이브)
61,인사,범진
62,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
63,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
64,Ditto,NewJeans
65,Merry PLLIstmas,PLAVE
66,취중고백,김민석
67,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
68,To. X,태연 (TAEYEON)
69,MEOW,MEOVV (미야오)
70,사랑인가 봐,멜로망스
71,ETA,NewJeans
72,청혼하지 않을 이유를 못 찾았어,이무진
73,CRAZY,LE SSERAFIM (르세라핌)
74,사건의 지평선,윤하 (YOUNHA)
75,Drama,aespa
76,오래된 노래,허각
77,Super Shy,NewJeans
78,Attention,NewJeans
79,Love 119,RIIZE
80,밤양갱,비비 (BIBI)
81,Dynamite,방탄소년단
82,I Don't Think That I Like Her,Charlie Puth
83,사막에서 꽃을 피우듯,우디 (Woody)
84,Get A Guitar,RIIZE
85,Spicy,aespa
86,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
87,봄날,방탄소년단
88,LOVE DIVE,IVE (아이브)
89,Perfect Night,LE SSERAFIM (르세라핌)
90,퀸카 (Queencard),(여자)아이들
91,플러팅,황인욱
92,Love Lee,AKMU (악뮤)
93,꿈,태연 (TAEYEON)
94,Girls Never Die,tripleS (트리플에스)
95,Nice Guy,BOYNEXTDOOR
96,SHEESH,BABYMONSTER
97,위태로울걸,오반(OVAN)
98,그녀가 웃었다,DAY6 (데이식스)
99,OMG,NewJeans
100,Live My Life,aespa
